Country,Level 1 Index,Time,Indprod Index Value (I21)
AT,B,1996-01,67.4
AT,B,1996-02,67.6
AT,B,1996-03,73.3
AT,B,1996-04,86.2
AT,B,1996-05,93.3
AT,B,1996-06,95.2
AT,B,1996-07,101.7
AT,B,1996-08,91.8
AT,B,1996-09,96.7
AT,B,1996-10,108.5
AT,B,1996-11,95.5
AT,B,1996-12,77.1
AT,B,1997-01,65.3
AT,B,1997-02,66.4
AT,B,1997-03,78.9
AT,B,1997-04,94.0
AT,B,1997-05,83.0
AT,B,1997-06,88.0
AT,B,1997-07,97.0
AT,B,1997-08,83.6
AT,B,1997-09,96.7
AT,B,1997-10,101.1
AT,B,1997-11,89.8
AT,B,1997-12,74.4
AT,B,1998-01,67.2
AT,B,1998-02,67.1
AT,B,1998-03,86.7
AT,B,1998-04,95.0
AT,B,1998-05,96.6
AT,B,1998-06,101.6
AT,B,1998-07,100.7
AT,B,1998-08,94.9
AT,B,1998-09,103.7
AT,B,1998-10,102.4
AT,B,1998-11,105.5
AT,B,1998-12,77.7
AT,B,1999-01,60.4
AT,B,1999-02,68.6
AT,B,1999-03,91.4
AT,B,1999-04,105.0
AT,B,1999-05,103.6
AT,B,1999-06,104.1
AT,B,1999-07,100.1
AT,B,1999-08,96.5
AT,B,1999-09,106.3
AT,B,1999-10,110.3
AT,B,1999-11,107.0
AT,B,1999-12,83.1
AT,B,2000-01,68.7
AT,B,2000-02,80.5
AT,B,2000-03,97.8
AT,B,2000-04,95.1
AT,B,2000-05,105.9
AT,B,2000-06,96.2
AT,B,2000-07,101.9
AT,B,2000-08,103.9
AT,B,2000-09,109.9
AT,B,2000-10,116.8
AT,B,2000-11,114.4
AT,B,2000-12,93.6
AT,B,2001-01,77.7
AT,B,2001-02,79.0
AT,B,2001-03,97.1
AT,B,2001-04,93.3
AT,B,2001-05,100.5
AT,B,2001-06,97.3
AT,B,2001-07,103.5
AT,B,2001-08,101.5
AT,B,2001-09,99.8
AT,B,2001-10,117.4
AT,B,2001-11,111.2
AT,B,2001-12,83.6
AT,B,2002-01,80.8
AT,B,2002-02,81.7
AT,B,2002-03,100.5
AT,B,2002-04,100.5
AT,B,2002-05,99.3
AT,B,2002-06,105.3
AT,B,2002-07,108.7
AT,B,2002-08,96.5
AT,B,2002-09,107.7
AT,B,2002-10,122.9
AT,B,2002-11,109.2
AT,B,2002-12,89.9
AT,B,2003-01,74.8
AT,B,2003-02,76.5
AT,B,2003-03,93.3
AT,B,2003-04,101.3
AT,B,2003-05,109.2
AT,B,2003-06,110.0
AT,B,2003-07,108.1
AT,B,2003-08,100.1
AT,B,2003-09,107.1
AT,B,2003-10,122.4
AT,B,2003-11,109.0
AT,B,2003-12,89.5
AT,B,2004-01,68.6
AT,B,2004-02,67.9
AT,B,2004-03,91.8
AT,B,2004-04,93.5
AT,B,2004-05,98.4
AT,B,2004-06,110.2
AT,B,2004-07,101.9
AT,B,2004-08,96.2
AT,B,2004-09,107.5
AT,B,2004-10,107.1
AT,B,2004-11,106.2
AT,B,2004-12,91.8
AT,B,2005-01,79.5
AT,B,2005-02,77.5
AT,B,2005-03,89.5
AT,B,2005-04,90.6
AT,B,2005-05,91.6
AT,B,2005-06,99.2
AT,B,2005-07,104.3
AT,B,2005-08,92.5
AT,B,2005-09,96.4
AT,B,2005-10,102.3
AT,B,2005-11,99.6
AT,B,2005-12,95.3
AT,B,2006-01,86.3
AT,B,2006-02,87.4
AT,B,2006-03,99.3
AT,B,2006-04,98.5
AT,B,2006-05,110.6
AT,B,2006-06,104.6
AT,B,2006-07,106.1
AT,B,2006-08,103.0
AT,B,2006-09,106.9
AT,B,2006-10,113.8
AT,B,2006-11,111.1
AT,B,2006-12,110.0
AT,B,2007-01,87.0
AT,B,2007-02,88.1
AT,B,2007-03,106.5
AT,B,2007-04,100.5
AT,B,2007-05,104.9
AT,B,2007-06,102.6
AT,B,2007-07,105.5
AT,B,2007-08,105.5
AT,B,2007-09,107.9
AT,B,2007-10,110.0
AT,B,2007-11,112.5
AT,B,2007-12,106.4
AT,B,2008-01,83.6
AT,B,2008-02,104.0
AT,B,2008-03,110.1
AT,B,2008-04,115.1
AT,B,2008-05,105.9
AT,B,2008-06,114.4
AT,B,2008-07,113.0
AT,B,2008-08,114.4
AT,B,2008-09,118.8
AT,B,2008-10,127.7
AT,B,2008-11,116.2
AT,B,2008-12,99.7
AT,B,2009-01,64.7
AT,B,2009-02,82.4
AT,B,2009-03,98.5
AT,B,2009-04,99.5
AT,B,2009-05,100.8
AT,B,2009-06,114.8
AT,B,2009-07,117.9
AT,B,2009-08,107.7
AT,B,2009-09,114.2
AT,B,2009-10,116.2
AT,B,2009-11,118.7
AT,B,2009-12,98.0
AT,B,2010-01,69.8
AT,B,2010-02,106.7
AT,B,2010-03,99.4
AT,B,2010-04,119.4
AT,B,2010-05,114.1
AT,B,2010-06,119.5
AT,B,2010-07,121.1
