Country,HTS_Code,Truncated_Mean_EU_Export_to_US_2022_2024H1_in_thousand ($),Export_Share
AT,010121,100.985,6.035846531272956e-05
AT,010129,43.687083333333334,2.611165325532827e-05
AT,010619,6.5895,3.938526584920844e-06
AT,010620,5.5,3.287335339109893e-06
AT,010639,60.58133333333333,3.620930144673869e-05
AT,010690,3.201,1.9132291673619577e-06
AT,040150,6.896,4.121720817909422e-06
AT,040221,9.976,5.962628607810963e-06
AT,040630,64.92625,3.880624655652431e-05
AT,040690,754.9591,0.0004512370416386545
AT,040711,20.823,1.2445851593870056e-05
AT,040900,57.854653846153845,3.457957238553302e-05
AT,050100,63.792,3.8128308354999695e-05
AT,050790,24.475,1.4628642259039025e-05
AT,051000,50.56,3.0219577226435673e-05
AT,051199,22.231545454545454,1.3287735457410033e-05
AT,060290,19.128,1.1432754612089825e-05
AT,070920,12.512777777777778,7.478853923512336e-06
AT,071021,153.10575,9.151089865380446e-05
AT,071090,94.119,5.625467541485164e-05
AT,071290,76.291,4.559892733746052e-05
AT,080450,9.13,5.456976662922423e-06
AT,080620,4.469,2.671109387360384e-06
AT,081120,99.521,5.948343641519194e-05
AT,081340,47.4875,2.8383152166542007e-05
AT,090121,69.78568,4.171071491414809e-05
AT,090122,20.298714285714283,1.2132487419986071e-05
AT,090210,4.772,2.85221167967862e-06
AT,090220,5.715,3.4158402660023706e-06
AT,090230,12.044,7.198666695316282e-06
AT,090411,16.424,9.816581019916524e-06
AT,090961,32.21975,1.925765868950654e-05
AT,090962,63.272,3.781750574112021e-05
AT,091012,5.376,3.213220869646325e-06
AT,091020,10.992,6.5698890995447175e-06
AT,091030,2.386,1.42610583983931e-06
AT,091091,25.8525,1.5451970337152457e-05
AT,091099,3.9273333333333333,2.3473566645692583e-06
AT,100119,3.452,2.0632511982922454e-06
AT,100191,3.452,2.0632511982922454e-06
AT,100510,90.0486,5.382180818497656e-05
AT,100810,3.453,2.063848895626629e-06
AT,100890,3.453,2.063848895626629e-06
AT,110100,2.4545000000000003,1.467048107244588e-06
AT,110220,10.614,6.34395950714771e-06
AT,110290,4.517333333333333,2.699998091855592e-06
AT,110419,3.236,1.9341485740653847e-06
AT,110520,138.7307142857143,8.29189781257066e-05
AT,110620,16.637,9.943890552140235e-06
