Country,Time,USD-PLN Spot Exchange Rate
PL,1957-01,0.0004
PL,1957-02,0.0004
PL,1957-03,0.0004
PL,1957-04,0.0004
PL,1957-05,0.0004
PL,1957-06,0.0004
PL,1957-07,0.0004
PL,1957-08,0.0004
PL,1957-09,0.0004
PL,1957-10,0.0004
PL,1957-11,0.0004
PL,1957-12,0.0004
PL,1958-01,0.0004
PL,1958-02,0.0004
PL,1958-03,0.0004
PL,1958-04,0.0004
PL,1958-05,0.0004
PL,1958-06,0.0004
PL,1958-07,0.0004
PL,1958-08,0.0004
PL,1958-09,0.0004
PL,1958-10,0.0004
PL,1958-11,0.0004
PL,1958-12,0.0004
PL,1959-01,0.0004
PL,1959-02,0.0004
PL,1959-03,0.0004
PL,1959-04,0.0004
PL,1959-05,0.0004
PL,1959-06,0.0004
PL,1959-07,0.0004
PL,1959-08,0.0004
PL,1959-09,0.0004
PL,1959-10,0.0004
PL,1959-11,0.0004
PL,1959-12,0.0004
PL,1960-01,0.0004
PL,1960-02,0.0004
PL,1960-03,0.0004
PL,1960-04,0.0004
PL,1960-05,0.0004
PL,1960-06,0.0004
PL,1960-07,0.0004
PL,1960-08,0.0004
PL,1960-09,0.0004
PL,1960-10,0.0004
PL,1960-11,0.0004
PL,1960-12,0.0004
PL,1961-01,0.0004
PL,1961-02,0.0004
PL,1961-03,0.0004
PL,1961-04,0.0004
PL,1961-05,0.0004
PL,1961-06,0.0004
PL,1961-07,0.0004
PL,1961-08,0.0004
PL,1961-09,0.0004
PL,1961-10,0.0004
PL,1961-11,0.0004
PL,1961-12,0.0004
PL,1962-01,0.0004
PL,1962-02,0.0004
PL,1962-03,0.0004
PL,1962-04,0.0004
PL,1962-05,0.0004
PL,1962-06,0.0004
PL,1962-07,0.0004
PL,1962-08,0.0004
PL,1962-09,0.0004
PL,1962-10,0.0004
PL,1962-11,0.0004
PL,1962-12,0.0004
PL,1963-01,0.0004
PL,1963-02,0.0004
PL,1963-03,0.0004
PL,1963-04,0.0004
PL,1963-05,0.0004
PL,1963-06,0.0004
PL,1963-07,0.0004
PL,1963-08,0.0004
PL,1963-09,0.0004
PL,1963-10,0.0004
PL,1963-11,0.0004
PL,1963-12,0.0004
PL,1964-01,0.0004
PL,1964-02,0.0004
PL,1964-03,0.0004
PL,1964-04,0.0004
PL,1964-05,0.0004
PL,1964-06,0.0004
PL,1964-07,0.0004
PL,1964-08,0.0004
PL,1964-09,0.0004
PL,1964-10,0.0004
PL,1964-11,0.0004
PL,1964-12,0.0004
PL,1965-01,0.0004
PL,1965-02,0.0004
PL,1965-03,0.0004
PL,1965-04,0.0004
PL,1965-05,0.0004
PL,1965-06,0.0004
PL,1965-07,0.0004
PL,1965-08,0.0004
PL,1965-09,0.0004
PL,1965-10,0.0004
PL,1965-11,0.0004
PL,1965-12,0.0004
PL,1966-01,0.0004
PL,1966-02,0.0004
PL,1966-03,0.0004
PL,1966-04,0.0004
PL,1966-05,0.0004
PL,1966-06,0.0004
PL,1966-07,0.0004
PL,1966-08,0.0004
PL,1966-09,0.0004
PL,1966-10,0.0004
PL,1966-11,0.0004
PL,1966-12,0.0004
PL,1967-01,0.0004
PL,1967-02,0.0004
PL,1967-03,0.0004
PL,1967-04,0.0004
PL,1967-05,0.0004
PL,1967-06,0.0004
PL,1967-07,0.0004
PL,1967-08,0.0004
PL,1967-09,0.0004
PL,1967-10,0.0004
PL,1967-11,0.0004
PL,1967-12,0.0004
PL,1968-01,0.0004
PL,1968-02,0.0004
PL,1968-03,0.0004
PL,1968-04,0.0004
PL,1968-05,0.0004
PL,1968-06,0.0004
PL,1968-07,0.0004
PL,1968-08,0.0004
PL,1968-09,0.0004
PL,1968-10,0.0004
