Country,NAIC Code,Description,Time,Import - General custom value (USD)
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2020-01,1704133
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2020-02,1284144
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2020-03,1632336
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2020-04,1985391
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2020-05,750512
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2020-06,1626202
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2020-07,1756126
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2020-08,1274207
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2020-09,715887
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2020-10,1848726
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2020-11,1882462
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2020-12,1486545
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2021-01,1674067
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2021-02,1057297
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2021-03,2260187
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2021-04,2201940
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2021-05,1892846
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2021-06,2371957
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2021-07,2519093
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2021-08,2659807
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2021-09,1687776
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2021-10,2317616
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2021-11,2627111
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2021-12,2770667
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2022-01,2794131
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2022-02,1621113
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2022-03,3671115
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2022-04,3633086
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2022-05,4971573
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2022-06,4444953
AT,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2022-07,3782258
