Country,Time,USD-EUR Spot Exchange Rate,Country,Time,USD-BGN Spot Exchange Rate,Country,Time,USD-SKK Spot Exchange Rate,Country,Time,USD-DKK Spot Exchange Rate,Country,Time,USD-CZK Spot Exchange Rate,Country,Time,USD-HUF Spot Exchange Rate,Country,Time,USD-PLN Spot Exchange Rate,Country,Time,USD-RON Spot Exchange Rate
AT,2002-01,0.8831619047619047,BG,1960-01,0.001169999999,SE,1974-01,0.20776924769588623,DK,1974-01,0.1497566454511419,CZ,1994-01,30.122000013333302,HU,1971-01,60.0,PL,1960-01,0.0004,RO,1960-01,0.0005999999999
AT,2002-02,0.8706947368421052,BG,1960-02,0.001169999999,SE,1974-02,0.2137064172475326,DK,1974-02,0.1556420233463035,CZ,1994-02,30.074399852,HU,1971-02,60.0,PL,1960-02,0.0004,RO,1960-02,0.0005999999999
AT,2002-03,0.8766380952380953,BG,1960-03,0.001169999999,SE,1974-03,0.21906924778922618,DK,1974-03,0.16027952749595295,CZ,1994-03,29.5886521547826,HU,1971-03,60.0,PL,1960-03,0.0004,RO,1960-03,0.0005999999999
AT,2002-04,0.8859954545454546,BG,1960-04,0.001169999999,SE,1974-04,0.22725371120804977,DK,1974-04,0.16492941021242907,CZ,1994-04,29.6302001005,HU,1971-04,60.0,PL,1960-04,0.0004,RO,1960-04,0.0005999999999
AT,2002-05,0.916959090909091,BG,1960-05,0.001169999999,SE,1974-05,0.23384925439291138,DK,1974-05,0.17010274205620193,CZ,1994-05,29.2073179595455,HU,1971-05,60.0,PL,1960-05,0.0004,RO,1960-05,0.0005999999999
AT,2002-06,0.9561350000000001,BG,1960-06,0.001169999999,SE,1974-06,0.22883609385941228,DK,1974-06,0.16752383026485518,CZ,1994-06,28.8938179886364,HU,1971-06,60.0,PL,1960-06,0.0004,RO,1960-06,0.0005999999999
AT,2002-07,0.9935272727272728,BG,1960-07,0.001169999999,SE,1974-07,0.22859826660168933,DK,1974-07,0.16856868331001468,CZ,1994-07,28.1724737063158,HU,1971-07,60.0,PL,1960-07,0.0004,RO,1960-07,0.0005999999999
AT,2002-08,0.9780590909090908,BG,1960-08,0.001169999999,SE,1974-08,0.22595342072937763,DK,1974-08,0.16544786737698952,CZ,1994-08,28.12343473,HU,1971-08,60.0,PL,1960-08,0.0004,RO,1960-08,0.0005999999999
AT,2002-09,0.98063,BG,1960-09,0.001169999999,SE,1974-09,0.22332295625996582,DK,1974-09,0.16109804426974256,CZ,1994-09,27.9795907636364,HU,1971-09,60.0,PL,1960-09,0.0004,RO,1960-09,0.0005999999999
AT,2002-10,0.98115,BG,1960-10,0.001169999999,SE,1974-10,0.22756705987496226,DK,1974-10,0.1659062629614268,CZ,1994-10,27.6360500335,HU,1971-10,60.0,PL,1960-10,0.0004,RO,1960-10,0.0005999999999
AT,2002-11,1.0012894736842106,BG,1960-11,0.001169999999,SE,1974-11,0.2317300190791049,DK,1974-11,0.1699524133242692,CZ,1994-11,27.7775454959091,HU,1971-11,60.0,PL,1960-11,0.0004,RO,1960-11,0.0005999999999
AT,2002-12,1.019404761904762,BG,1960-12,0.001169999999,SE,1974-12,0.23891790666956403,DK,1974-12,0.17312419930057824,CZ,1994-12,28.218476158571402,HU,1971-12,57.8594,PL,1960-12,0.0004,RO,1960-12,0.0005999999999
AT,2003-01,1.062247619047619,BG,1961-01,0.001169999999,SE,1975-01,0.24747157170320055,DK,1975-01,0.1781388057574462,CZ,1995-01,27.762000171363603,HU,1972-01,55.26,PL,1961-01,0.0004,RO,1961-01,0.0005999999999
AT,2003-02,1.0784578947368422,BG,1961-02,0.001169999999,SE,1975-02,0.2514517848187382,DK,1975-02,0.18060321473722232,CZ,1995-02,27.395999909,HU,1972-02,55.26,PL,1961-02,0.0004,RO,1961-02,0.0005999999999
AT,2003-03,1.0797428571428571,BG,1961-03,0.001169999999,SE,1975-03,0.25480643810933623,DK,1975-03,0.18396217737633141,CZ,1995-03,26.223391325652198,HU,1972-03,55.26,PL,1961-03,0.0004,RO,1961-03,0.0005999999999
AT,2003-04,1.0862363636363637,BG,1961-04,0.001169999999,SE,1975-04,0.2516969522931309,DK,1975-04,0.1811758311441254,CZ,1995-04,25.85321055,HU,1972-04,55.26,PL,1961-04,0.0004,RO,1961-04,0.0005999999999
AT,2003-05,1.155557142857143,BG,1961-05,0.001169999999,SE,1975-05,0.2542160521699761,DK,1975-05,0.18297926844888476,CZ,1995-05,26.236619040952398,HU,1972-05,55.26,PL,1961-05,0.0004,RO,1961-05,0.0005999999999
AT,2003-06,1.1674285714285713,BG,1961-06,0.001169999999,SE,1975-06,0.25532132188359047,DK,1975-06,0.18391481065970244,CZ,1995-06,26.1391363136364,HU,1972-06,55.26,PL,1961-06,0.0004,RO,1961-06,0.0005999999999
AT,2003-07,1.1365045454545455,BG,1961-07,0.001169999999,SE,1975-07,0.24195818962483281,DK,1975-07,0.174678591391839,CZ,1995-07,26.010105233157898,HU,1972-07,55.26,PL,1961-07,0.0004,RO,1961-07,0.0005999999999
AT,2003-08,1.1155190476190475,BG,1961-08,0.001169999999,SE,1975-08,0.23173487764398462,DK,1975-08,0.1678331067586392,CZ,1995-08,26.6381738917391,HU,1972-08,55.26,PL,1961-08,0.0004,RO,1961-08,0.0005999999999
AT,2003-09,1.1267,BG,1961-09,0.001169999999,SE,1975-09,0.22495669583605155,DK,1975-09,0.16440878600552414,CZ,1995-09,26.928428467142897,HU,1972-09,55.26,PL,1961-09,0.0004,RO,1961-09,0.0005999999999
AT,2003-10,1.1713681818181818,BG,1961-10,0.001169999999,SE,1975-10,0.22766738209416737,DK,1975-10,0.16599438938963862,CZ,1995-10,26.312636376363603,HU,1972-10,55.26,PL,1961-10,0.0004,RO,1961-10,0.0005999999999
AT,2003-11,1.171011111111111,BG,1961-11,0.001169999999,SE,1975-11,0.22787470644376054,DK,1975-11,0.16562598340427645,CZ,1995-11,26.323227015,HU,1972-11,55.26,PL,1961-11,0.0004,RO,1961-11,0.0005999999999
AT,2003-12,1.229818181818182,BG,1961-12,0.001169999999,SE,1975-12,0.226853470187845,DK,1975-12,0.16252498821693837,CZ,1995-12,26.6582629547368,HU,1972-12,55.26,PL,1961-12,0.0004,RO,1961-12,0.0005999999999
AT,2004-01,1.26382,BG,1962-01,0.001169999999,SE,1976-01,0.228313232708806,DK,1976-01,0.16230867864504714,CZ,1996-01,26.9667726863636,HU,1973-01,55.26,PL,1962-01,0.0004,RO,1962-01,0.0005999999999
AT,2004-02,1.2640421052631579,BG,1962-02,0.001169999999,SE,1976-02,0.22860481213129538,DK,1976-02,0.16277631279096266,CZ,1996-02,27.069380897142896,HU,1973-02,52.1038,PL,1962-02,0.0004,RO,1962-02,0.0005999999999
