Country,Publication_Date,Exposure
AT,2024-09-26,0.0022567142035396096
AT,2025-02-05,-0.00868920068540435
AT,2025-03-11,2.76968039268872
AT,2025-04-03,2.29447401565153
AT,2025-05-02,0.24888163276768474
AT,2025-06-02,5.1385162616307944
AT,2025-08-01,0.1165674684980004
AT,2025-09-25,2.881297742017674
AT,2025-10-13,0.027909288312258536
BE,2024-09-26,0.015038405816375
BE,2025-02-05,-0.017951149636880763
BE,2025-03-11,0.9061445254675061
BE,2025-04-03,1.79348372652169
BE,2025-05-02,0.061247827916610174
BE,2025-06-02,2.774670265999251
BE,2025-08-01,0.04279938345139759
BE,2025-09-25,1.3076796202571481
BE,2025-10-13,0.014064811015919486
BG,2024-09-26,0.0
BG,2025-02-05,-0.010488756972477212
BG,2025-03-11,2.736575810097025
BG,2025-04-03,0.004667650908017314
BG,2025-05-02,0.1498815174361472
BG,2025-06-02,2.7416883963470293
BG,2025-08-01,1.2147611409604235
BG,2025-09-25,0.786406988712196
BG,2025-10-13,0.26536390517207864
CY,2024-09-26,0.0
CY,2025-02-05,-0.01279088396478782
CY,2025-03-11,0.5654651402092555
CY,2025-04-03,0.0
CY,2025-05-02,0.07417350316629642
CY,2025-06-02,0.5654651402092555
CY,2025-08-01,0.09182068570902001
CY,2025-09-25,0.4177451830002759
CY,2025-10-13,0.028755169645449996
CZ,2024-09-26,0.0038620884382600004
CZ,2025-02-05,-0.0027226988772729712
CZ,2025-03-11,3.0703046561674774
CZ,2025-04-03,0.02170534589456769
CZ,2025-05-02,0.315903983402579
CZ,2025-06-02,3.1115237324650376
CZ,2025-08-01,0.17411560020820965
CZ,2025-09-25,2.603053914860211
CZ,2025-10-13,0.07429699913306193
DE,2024-09-26,0.003494388505535
DE,2025-02-05,-0.009015956783250439
DE,2025-03-11,1.9956234985514607
DE,2025-04-03,3.5450817539152264
DE,2025-05-02,0.4104318609391367
DE,2025-06-02,6.088864153378738
DE,2025-08-01,0.3517427219710425
DE,2025-09-25,3.5300946422087724
DE,2025-10-13,0.08626943217580872
DK,2024-09-26,0.00397446188443
DK,2025-02-05,-0.01057842513958875
DK,2025-03-11,1.3632859325503333
DK,2025-04-03,0.027919481838312842
DK,2025-05-02,0.23868181148257814
DK,2025-06-02,1.477865573626707
DK,2025-08-01,0.10285341590922595
DK,2025-09-25,0.33318721831225456
DK,2025-10-13,0.07922015618089519
EE,2024-09-26,0.07110370702072749
EE,2025-02-05,-0.0031172692206729883
EE,2025-03-11,1.5192080394020488
EE,2025-04-03,0.030838138867748565
