Data Type;Country;Year;Month;HTS Number;Description;General Customs Value
General Customs Value;Croatia;2022;2;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;80.185
General Customs Value;Croatia;2020;1;010619;MAMMALS, LIVE, NESOI;3.312
General Customs Value;Croatia;2021;1;010619;MAMMALS, LIVE, NESOI;5.25
General Customs Value;Croatia;2022;1;010619;MAMMALS, LIVE, NESOI;2.2
General Customs Value;Croatia;2023;1;010619;MAMMALS, LIVE, NESOI;9.2
General Customs Value;Croatia;2024;1;010619;MAMMALS, LIVE, NESOI;50.8
General Customs Value;Croatia;2025;1;010619;MAMMALS, LIVE, NESOI;75.419
General Customs Value;Croatia;2021;2;010619;MAMMALS, LIVE, NESOI;2.4
General Customs Value;Croatia;2022;2;010619;MAMMALS, LIVE, NESOI;8.717
General Customs Value;Croatia;2023;2;010619;MAMMALS, LIVE, NESOI;6.224
General Customs Value;Croatia;2024;2;010619;MAMMALS, LIVE, NESOI;123.114
General Customs Value;Croatia;2025;2;010619;MAMMALS, LIVE, NESOI;66.9
General Customs Value;Croatia;2021;3;010619;MAMMALS, LIVE, NESOI;11.7
General Customs Value;Croatia;2022;3;010619;MAMMALS, LIVE, NESOI;11.666
General Customs Value;Croatia;2024;3;010619;MAMMALS, LIVE, NESOI;71.5
General Customs Value;Croatia;2025;3;010619;MAMMALS, LIVE, NESOI;72
General Customs Value;Croatia;2021;4;010619;MAMMALS, LIVE, NESOI;2.4
General Customs Value;Croatia;2022;4;010619;MAMMALS, LIVE, NESOI;4
General Customs Value;Croatia;2023;4;010619;MAMMALS, LIVE, NESOI;51
General Customs Value;Croatia;2024;4;010619;MAMMALS, LIVE, NESOI;59.705
General Customs Value;Croatia;2025;4;010619;MAMMALS, LIVE, NESOI;57.8
General Customs Value;Croatia;2021;5;010619;MAMMALS, LIVE, NESOI;21.313
General Customs Value;Croatia;2022;5;010619;MAMMALS, LIVE, NESOI;15.306
General Customs Value;Croatia;2023;5;010619;MAMMALS, LIVE, NESOI;67.128
