Data Type;Country;Year;Month;HTS Number;Description;General Customs Value
General Customs Value;Luxembourg;2022;9;010121;HORSES, LIVE, PUREBRED BREEDING;72.608
General Customs Value;Luxembourg;2021;12;010121;HORSES, LIVE, PUREBRED BREEDING;1700.55
General Customs Value;Luxembourg;2020;1;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;97
General Customs Value;Luxembourg;2022;1;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;5
General Customs Value;Luxembourg;2024;1;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;294.707
General Customs Value;Luxembourg;2020;2;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;15
General Customs Value;Luxembourg;2022;2;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;16
General Customs Value;Luxembourg;2022;3;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;12
General Customs Value;Luxembourg;2023;3;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;18.164
General Customs Value;Luxembourg;2025;3;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;20.804
General Customs Value;Luxembourg;2022;6;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;35.405
General Customs Value;Luxembourg;2022;7;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;25.29
General Customs Value;Luxembourg;2021;10;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;50
General Customs Value;Luxembourg;2020;12;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;6.059
General Customs Value;Luxembourg;2021;12;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;1592.18
General Customs Value;Luxembourg;2022;12;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;367.43
General Customs Value;Luxembourg;2020;1;090121;COFFEE, ROASTED, NOT DECAFFEINATED;14.116
General Customs Value;Luxembourg;2020;4;090121;COFFEE, ROASTED, NOT DECAFFEINATED;14.72
General Customs Value;Luxembourg;2024;6;090121;COFFEE, ROASTED, NOT DECAFFEINATED;3.412
General Customs Value;Luxembourg;2020;7;090121;COFFEE, ROASTED, NOT DECAFFEINATED;34.655
General Customs Value;Luxembourg;2020;9;090121;COFFEE, ROASTED, NOT DECAFFEINATED;39.336
General Customs Value;Luxembourg;2020;2;120925;RYE GRASS (LOLIUM MULTIFLORUM LAM., LOLIUM PERENNE L.) SEEDS OF A KIND USED FOR SOWING;28.842
General Customs Value;Luxembourg;2021;2;120925;RYE GRASS (LOLIUM MULTIFLORUM LAM., LOLIUM PERENNE L.) SEEDS OF A KIND USED FOR SOWING;22.545
General Customs Value;Luxembourg;2020;3;120925;RYE GRASS (LOLIUM MULTIFLORUM LAM., LOLIUM PERENNE L.) SEEDS OF A KIND USED FOR SOWING;11.116
General Customs Value;Luxembourg;2020;5;120925;RYE GRASS (LOLIUM MULTIFLORUM LAM., LOLIUM PERENNE L.) SEEDS OF A KIND USED FOR SOWING;11.649
General Customs Value;Luxembourg;2021;5;121221;SEAWEEDS AND OTHER ALGAE, FIT FOR HUMAN CONSUMPTION;2.689
General Customs Value;Luxembourg;2020;10;121221;SEAWEEDS AND OTHER ALGAE, FIT FOR HUMAN CONSUMPTION;3.549
General Customs Value;Luxembourg;2024;2;170290;SUGAR, NESOI, INCLUDING INVERT SUGAR AND INVERT SYRUP;3.26
