99xx_HTS,Mapped_HTS,Revision,Publication_Date
9915.04.11,0405.90.20,hts_2025_revision_1_csv,2025-02-05
9915.04.17,0405.90.20,hts_2025_revision_1_csv,2025-02-05
9915.04.17,2309.90.48,hts_2025_revision_1_csv,2025-02-05
9915.04.24,2309.90.28,hts_2025_revision_1_csv,2025-02-05
9915.04.24,2309.90.28,hts_2025_revision_1_csv,2025-02-05
9915.04.28,2309.90.48,hts_2025_revision_1_csv,2025-02-05
9915.04.31,0402.29.50,hts_2025_revision_1_csv,2025-02-05
9915.04.34,0402.99.90,hts_2025_revision_1_csv,2025-02-05
9915.04.35,0403.20.50,hts_2025_revision_1_csv,2025-02-05
9915.04.36,0403.90.95,hts_2025_revision_1_csv,2025-02-05
9915.04.37,0404.10.15,hts_2025_revision_1_csv,2025-02-05
9915.04.38,0404.90.50,hts_2025_revision_1_csv,2025-02-05
9915.04.39,0405.20.70,hts_2025_revision_1_csv,2025-02-05
9915.04.39,2106.90.66,hts_2025_revision_1_csv,2025-02-05
9915.04.41,1704.90.58,hts_2025_revision_1_csv,2025-02-05
9915.04.42,1806.20.26,hts_2025_revision_1_csv,2025-02-05
9915.04.42,1806.20.36,hts_2025_revision_1_csv,2025-02-05
9915.04.42,1806.32.06,hts_2025_revision_1_csv,2025-02-05
9915.04.42,1806.32.16,hts_2025_revision_1_csv,2025-02-05
9915.04.43,1806.20.28,hts_2025_revision_1_csv,2025-02-05
9915.04.43,1806.20.38,hts_2025_revision_1_csv,2025-02-05
9915.04.43,1806.32.08,hts_2025_revision_1_csv,2025-02-05
9915.04.43,1806.32.18,hts_2025_revision_1_csv,2025-02-05
9915.04.44,1806.20.82,hts_2025_revision_1_csv,2025-02-05
9915.04.44,1806.20.87,hts_2025_revision_1_csv,2025-02-05
9915.04.45,1806.20.83,hts_2025_revision_1_csv,2025-02-05
9915.04.45,1806.20.89,hts_2025_revision_1_csv,2025-02-05
9915.04.46,1806.32.70,hts_2025_revision_1_csv,2025-02-05
9915.04.46,1806.90.08,hts_2025_revision_1_csv,2025-02-05
9915.04.46,1806.90.18,hts_2025_revision_1_csv,2025-02-05
9915.04.46,1806.90.28,hts_2025_revision_1_csv,2025-02-05
9915.04.47,1806.32.80,hts_2025_revision_1_csv,2025-02-05
9915.04.47,1806.90.10,hts_2025_revision_1_csv,2025-02-05
9915.04.47,1806.90.20,hts_2025_revision_1_csv,2025-02-05
9915.04.47,1806.90.30,hts_2025_revision_1_csv,2025-02-05
9915.04.48,1901.10.16,hts_2025_revision_1_csv,2025-02-05
9915.04.48,1901.10.26,hts_2025_revision_1_csv,2025-02-05
9915.04.48,1901.10.36,hts_2025_revision_1_csv,2025-02-05
9915.04.48,1901.10.44,hts_2025_revision_1_csv,2025-02-05
9915.04.49,1901.20.15,hts_2025_revision_1_csv,2025-02-05
9915.04.49,1901.20.50,hts_2025_revision_1_csv,2025-02-05
9915.04.50,1901.10.56,hts_2025_revision_1_csv,2025-02-05
9915.04.50,1901.10.66,hts_2025_revision_1_csv,2025-02-05
9915.04.50,1901.90.62,hts_2025_revision_1_csv,2025-02-05
9915.04.50,1901.90.65,hts_2025_revision_1_csv,2025-02-05
9915.04.51,2105.00.40,hts_2025_revision_1_csv,2025-02-05
9915.04.53,2106.90.87,hts_2025_revision_1_csv,2025-02-05
9915.04.54,2202.99.28,hts_2025_revision_1_csv,2025-02-05
9915.04.55,0402.29.50,hts_2025_revision_1_csv,2025-02-05
9915.04.58,0402.99.90,hts_2025_revision_1_csv,2025-02-05
9915.04.59,0403.20.50,hts_2025_revision_1_csv,2025-02-05
9915.04.60,0403.90.95,hts_2025_revision_1_csv,2025-02-05
9915.04.61,0404.10.15,hts_2025_revision_1_csv,2025-02-05
9915.04.62,0404.90.50,hts_2025_revision_1_csv,2025-02-05
9915.04.63,0405.20.70,hts_2025_revision_1_csv,2025-02-05
9915.04.63,2106.90.66,hts_2025_revision_1_csv,2025-02-05
9915.04.65,1704.90.58,hts_2025_revision_1_csv,2025-02-05
9915.04.66,1806.20.26,hts_2025_revision_1_csv,2025-02-05
9915.04.66,1806.20.36,hts_2025_revision_1_csv,2025-02-05
9915.04.66,1806.32.06,hts_2025_revision_1_csv,2025-02-05
9915.04.66,1806.32.16,hts_2025_revision_1_csv,2025-02-05
9915.04.67,1806.20.28,hts_2025_revision_1_csv,2025-02-05
