revision_id,publication_date
hts_2024_revision_7_csv,2024-08-06
hts_2024_revision_8_csv,2024-08-15
hts_2024_revision_9_csv,2024-09-26
hts_2024_revision_10_csv,2024-11-22
hts_2025_revision_1_csv,2025-02-05
hts_2025_revision_2_csv,2025-02-12
hts_2025_revision_3_csv,2025-03-05
hts_2025_revision_4_csv,2025-03-11
hts_2025_revision_5_csv,2025-03-14
hts_2025_revision_6_csv,2025-04-03
hts_2025_revision_7_csv,2025-04-05
hts_2025_revision_8_csv,2025-04-09
hts_2025_revision_9_csv,2025-04-11
hts_2025_revision_10_csv,2025-04-15
hts_2025_revision_11_csv,2025-05-02
hts_2025_revision_12_csv,2025-05-13
hts_2025_revision_13_csv,2025-05-16
hts_2025_revision_14_csv,2025-06-02
hts_2025_revision_15_csv,2025-06-23
hts_2025_revision_16_csv,2025-07-01
hts_2025_revision_17_csv,2025-08-01
hts_2025_revision_18_csv,2025-08-07
hts_2025_revision_19_csv,2025-08-18
hts_2025_revision_20_csv,2025-08-27
hts_2025_revision_21_csv,2025-08-29
hts_2025_revision_22_csv,2025-09-09
hts_2025_revision_23_csv,2025-09-16
hts_2025_revision_24_csv,2025-09-25
hts_2025_revision_25_csv,2025-10-13
