Data Type,Country,Year,Month,HTS Number,Description,General Customs Value
General Customs Value,Estonia,2021,2,010121,"HORSES, LIVE, PUREBRED BREEDING",15.633
General Customs Value,Estonia,2020,1,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",19
General Customs Value,Estonia,2024,2,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",8.087
General Customs Value,Estonia,2025,2,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",52
General Customs Value,Estonia,2024,3,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",5.416
General Customs Value,Estonia,2025,5,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",120.392
General Customs Value,Estonia,2020,6,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",95
General Customs Value,Estonia,2022,6,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",45.24
General Customs Value,Estonia,2020,9,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",56.338
General Customs Value,Estonia,2022,10,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",24.522
General Customs Value,Estonia,2023,10,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",115.522
General Customs Value,Estonia,2025,1,010619,"MAMMALS, LIVE, NESOI",3
General Customs Value,Estonia,2022,2,010619,"MAMMALS, LIVE, NESOI",8.915
General Customs Value,Estonia,2023,2,010619,"MAMMALS, LIVE, NESOI",3
General Customs Value,Estonia,2022,3,010619,"MAMMALS, LIVE, NESOI",5.922
General Customs Value,Estonia,2023,3,010619,"MAMMALS, LIVE, NESOI",5.422
General Customs Value,Estonia,2024,5,010619,"MAMMALS, LIVE, NESOI",7.529
General Customs Value,Estonia,2024,7,010619,"MAMMALS, LIVE, NESOI",2.2
General Customs Value,Estonia,2023,10,010619,"MAMMALS, LIVE, NESOI",8.996
General Customs Value,Estonia,2025,5,030241,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), FRESH OR CHILLED",26.434
General Customs Value,Estonia,2024,11,030241,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), FRESH OR CHILLED",41.14
General Customs Value,Estonia,2021,1,030351,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), FROZEN",26.645
General Customs Value,Estonia,2022,1,030351,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), FROZEN",101.376
General Customs Value,Estonia,2025,1,030351,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), FROZEN",50.012
General Customs Value,Estonia,2020,2,030351,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), FROZEN",66.994
