Data Type,Country,Year,Month,HTS Number,Description,General Customs Value
General Customs Value,Latvia,2021,2,010121,"HORSES, LIVE, PUREBRED BREEDING",13.68
General Customs Value,Latvia,2021,3,010121,"HORSES, LIVE, PUREBRED BREEDING",25.65
General Customs Value,Latvia,2021,4,010121,"HORSES, LIVE, PUREBRED BREEDING",8.55
General Customs Value,Latvia,2021,6,010121,"HORSES, LIVE, PUREBRED BREEDING",27.36
General Customs Value,Latvia,2021,8,010121,"HORSES, LIVE, PUREBRED BREEDING",875.52
General Customs Value,Latvia,2021,9,010121,"HORSES, LIVE, PUREBRED BREEDING",27.36
General Customs Value,Latvia,2020,10,010121,"HORSES, LIVE, PUREBRED BREEDING",13.68
General Customs Value,Latvia,2021,10,010121,"HORSES, LIVE, PUREBRED BREEDING",27.36
General Customs Value,Latvia,2020,11,010121,"HORSES, LIVE, PUREBRED BREEDING",27.36
General Customs Value,Latvia,2020,10,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",3.545
General Customs Value,Latvia,2023,11,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",81.593
General Customs Value,Latvia,2024,11,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",21.124
General Customs Value,Latvia,2022,12,010129,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",21.01
General Customs Value,Latvia,2022,1,010619,"MAMMALS, LIVE, NESOI",6.5
General Customs Value,Latvia,2025,1,010619,"MAMMALS, LIVE, NESOI",2.2
General Customs Value,Latvia,2020,2,010619,"MAMMALS, LIVE, NESOI",2.4
General Customs Value,Latvia,2023,2,010619,"MAMMALS, LIVE, NESOI",2.15
General Customs Value,Latvia,2024,2,010619,"MAMMALS, LIVE, NESOI",7.3
General Customs Value,Latvia,2022,3,010619,"MAMMALS, LIVE, NESOI",2.188
General Customs Value,Latvia,2024,3,010619,"MAMMALS, LIVE, NESOI",5.7
General Customs Value,Latvia,2025,3,010619,"MAMMALS, LIVE, NESOI",3.4
General Customs Value,Latvia,2023,4,010619,"MAMMALS, LIVE, NESOI",2.4
General Customs Value,Latvia,2024,4,010619,"MAMMALS, LIVE, NESOI",4
General Customs Value,Latvia,2025,4,010619,"MAMMALS, LIVE, NESOI",2.908
General Customs Value,Latvia,2023,5,010619,"MAMMALS, LIVE, NESOI",2.4
General Customs Value,Latvia,2025,5,010619,"MAMMALS, LIVE, NESOI",7.936
General Customs Value,Latvia,2023,6,010619,"MAMMALS, LIVE, NESOI",2.4
General Customs Value,Latvia,2020,7,010619,"MAMMALS, LIVE, NESOI",2.317
General Customs Value,Latvia,2022,7,010619,"MAMMALS, LIVE, NESOI",2.2
General Customs Value,Latvia,2023,7,010619,"MAMMALS, LIVE, NESOI",4.5
General Customs Value,Latvia,2024,7,010619,"MAMMALS, LIVE, NESOI",5.2
General Customs Value,Latvia,2020,8,010619,"MAMMALS, LIVE, NESOI",2.5
General Customs Value,Latvia,2022,8,010619,"MAMMALS, LIVE, NESOI",4.8
General Customs Value,Latvia,2023,8,010619,"MAMMALS, LIVE, NESOI",2.2
General Customs Value,Latvia,2024,8,010619,"MAMMALS, LIVE, NESOI",2.4
General Customs Value,Latvia,2020,9,010619,"MAMMALS, LIVE, NESOI",3.5
General Customs Value,Latvia,2021,9,010619,"MAMMALS, LIVE, NESOI",6
General Customs Value,Latvia,2022,9,010619,"MAMMALS, LIVE, NESOI",2.4
General Customs Value,Latvia,2024,9,010619,"MAMMALS, LIVE, NESOI",2.4
General Customs Value,Latvia,2020,10,010619,"MAMMALS, LIVE, NESOI",3
General Customs Value,Latvia,2021,10,010619,"MAMMALS, LIVE, NESOI",3
General Customs Value,Latvia,2022,10,010619,"MAMMALS, LIVE, NESOI",7.6
General Customs Value,Latvia,2024,10,010619,"MAMMALS, LIVE, NESOI",10.332
General Customs Value,Latvia,2022,11,010619,"MAMMALS, LIVE, NESOI",2.4
General Customs Value,Latvia,2023,11,010619,"MAMMALS, LIVE, NESOI",4.5
General Customs Value,Latvia,2024,11,010619,"MAMMALS, LIVE, NESOI",5.05
General Customs Value,Latvia,2021,12,010619,"MAMMALS, LIVE, NESOI",3.376
General Customs Value,Latvia,2023,12,010619,"MAMMALS, LIVE, NESOI",4.5
General Customs Value,Latvia,2025,3,030299,"OTHER FISH, FRESH OR SHILLED, NOT ELSEWHERE SPECIFICED OR INDICATED",9.642
General Customs Value,Latvia,2024,4,030299,"OTHER FISH, FRESH OR SHILLED, NOT ELSEWHERE SPECIFICED OR INDICATED",6.446
General Customs Value,Latvia,2025,4,030299,"OTHER FISH, FRESH OR SHILLED, NOT ELSEWHERE SPECIFICED OR INDICATED",4.419
General Customs Value,Latvia,2024,7,030299,"OTHER FISH, FRESH OR SHILLED, NOT ELSEWHERE SPECIFICED OR INDICATED",6.446
General Customs Value,Latvia,2024,8,030299,"OTHER FISH, FRESH OR SHILLED, NOT ELSEWHERE SPECIFICED OR INDICATED",33.902
General Customs Value,Latvia,2024,9,030299,"OTHER FISH, FRESH OR SHILLED, NOT ELSEWHERE SPECIFICED OR INDICATED",21.537
General Customs Value,Latvia,2021,7,030313,"ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON (HUCHO HUCHO), FROZEN",11.162
General Customs Value,Latvia,2020,12,030313,"ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON (HUCHO HUCHO), FROZEN",7.715
General Customs Value,Latvia,2025,1,030351,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), FROZEN",2.303
General Customs Value,Latvia,2021,3,030351,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), FROZEN",36.05
General Customs Value,Latvia,2025,4,030351,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), FROZEN",4.262
General Customs Value,Latvia,2023,1,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",100
General Customs Value,Latvia,2025,1,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",4.309
General Customs Value,Latvia,2023,2,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",50
General Customs Value,Latvia,2024,2,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",3.24
General Customs Value,Latvia,2022,3,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",21.735
General Customs Value,Latvia,2023,3,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",27.394
General Customs Value,Latvia,2025,3,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",2.872
General Customs Value,Latvia,2022,6,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",76.5
General Customs Value,Latvia,2023,6,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",5.04
General Customs Value,Latvia,2024,6,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",3.78
General Customs Value,Latvia,2022,7,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",50
General Customs Value,Latvia,2022,8,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",75
General Customs Value,Latvia,2023,8,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",5.04
General Customs Value,Latvia,2022,9,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",50
General Customs Value,Latvia,2023,9,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",2.2
General Customs Value,Latvia,2022,10,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FROZEN",25
