Data Type,Country,Year,Month,HTS Number,Description,General Customs Value
General Customs Value,Malta,2021,1,030235,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FRESH OR CHILLED",6.776
General Customs Value,Malta,2022,2,030235,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FRESH OR CHILLED",50.57
General Customs Value,Malta,2021,4,030235,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FRESH OR CHILLED",2.234
General Customs Value,Malta,2021,5,030235,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FRESH OR CHILLED",3.644
General Customs Value,Malta,2022,5,030235,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FRESH OR CHILLED",443.605
General Customs Value,Malta,2023,5,030235,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FRESH OR CHILLED",59.114
General Customs Value,Malta,2022,6,030235,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FRESH OR CHILLED",51.591
General Customs Value,Malta,2021,10,030235,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FRESH OR CHILLED",4.055
General Customs Value,Malta,2021,1,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FROZEN",8.541
General Customs Value,Malta,2022,1,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FROZEN",4.457
General Customs Value,Malta,2021,2,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FROZEN",13.025
General Customs Value,Malta,2022,2,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FROZEN",7.864
General Customs Value,Malta,2022,3,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FROZEN",9.276
General Customs Value,Malta,2021,4,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FROZEN",2.424
General Customs Value,Malta,2022,4,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FROZEN",2.391
General Customs Value,Malta,2021,5,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FROZEN",5.87
General Customs Value,Malta,2022,5,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FROZEN",6.818
General Customs Value,Malta,2021,6,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FROZEN",10.92
General Customs Value,Malta,2022,6,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FROZEN",5.746
