Data Type;Country;Year;Month;HTS Number;Description;General Customs Value
General Customs Value;Cyprus;2022;1;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;226.92
General Customs Value;Cyprus;2023;12;010129;HORSES, LIVE, OTHER THAN PUREBRED BREEDING;322.38
General Customs Value;Cyprus;2020;3;010619;MAMMALS, LIVE, NESOI;48.676
General Customs Value;Cyprus;2022;3;010619;MAMMALS, LIVE, NESOI;5.723
General Customs Value;Cyprus;2022;4;010619;MAMMALS, LIVE, NESOI;12.401
General Customs Value;Cyprus;2020;5;010619;MAMMALS, LIVE, NESOI;3.265
General Customs Value;Cyprus;2022;5;010619;MAMMALS, LIVE, NESOI;18.035
General Customs Value;Cyprus;2020;6;010619;MAMMALS, LIVE, NESOI;30.435
General Customs Value;Cyprus;2022;6;010619;MAMMALS, LIVE, NESOI;4.652
General Customs Value;Cyprus;2022;7;010619;MAMMALS, LIVE, NESOI;2.722
General Customs Value;Cyprus;2020;8;010619;MAMMALS, LIVE, NESOI;20.592
General Customs Value;Cyprus;2020;9;010619;MAMMALS, LIVE, NESOI;28.85
General Customs Value;Cyprus;2022;9;010619;MAMMALS, LIVE, NESOI;46.931
General Customs Value;Cyprus;2022;10;010619;MAMMALS, LIVE, NESOI;8.963
General Customs Value;Cyprus;2020;11;010619;MAMMALS, LIVE, NESOI;19.961
General Customs Value;Cyprus;2022;11;010619;MAMMALS, LIVE, NESOI;16.781
General Customs Value;Cyprus;2023;3;010690;ANIMALS, LIVE, NESOI;2.394
General Customs Value;Cyprus;2020;1;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;96.796
General Customs Value;Cyprus;2022;1;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;19.86
General Customs Value;Cyprus;2023;1;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;36.151
General Customs Value;Cyprus;2024;1;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;49.125
General Customs Value;Cyprus;2025;1;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;33.238
General Customs Value;Cyprus;2020;2;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;97.299
General Customs Value;Cyprus;2021;2;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;5.136
General Customs Value;Cyprus;2022;2;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;30.09
General Customs Value;Cyprus;2023;2;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;64.664
General Customs Value;Cyprus;2024;2;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;53.662
General Customs Value;Cyprus;2025;2;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;31.023
General Customs Value;Cyprus;2020;3;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;60.274
General Customs Value;Cyprus;2021;3;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;10.233
General Customs Value;Cyprus;2022;3;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;36.741
General Customs Value;Cyprus;2023;3;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;62.394
General Customs Value;Cyprus;2024;3;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;52.042
General Customs Value;Cyprus;2025;3;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;30.215
General Customs Value;Cyprus;2021;4;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;32.631
General Customs Value;Cyprus;2022;4;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;34.614
General Customs Value;Cyprus;2023;4;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;70.447
General Customs Value;Cyprus;2024;4;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;44.852
General Customs Value;Cyprus;2025;4;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;32.562
General Customs Value;Cyprus;2021;5;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;47.66
General Customs Value;Cyprus;2022;5;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;40.83
General Customs Value;Cyprus;2023;5;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;80.327
General Customs Value;Cyprus;2024;5;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;37.396
General Customs Value;Cyprus;2025;5;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;51.142
General Customs Value;Cyprus;2020;6;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;2.572
General Customs Value;Cyprus;2021;6;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;58.279
General Customs Value;Cyprus;2022;6;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;24.383
General Customs Value;Cyprus;2023;6;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;62.397
General Customs Value;Cyprus;2024;6;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;35.753
General Customs Value;Cyprus;2020;7;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;9.841
General Customs Value;Cyprus;2021;7;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;58.938
General Customs Value;Cyprus;2022;7;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;43.388
General Customs Value;Cyprus;2023;7;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;63.979
General Customs Value;Cyprus;2024;7;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;41.567
General Customs Value;Cyprus;2020;8;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;38.976
General Customs Value;Cyprus;2021;8;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;56.684
General Customs Value;Cyprus;2022;8;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;55.128
General Customs Value;Cyprus;2023;8;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;61.969
General Customs Value;Cyprus;2024;8;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;32.717
General Customs Value;Cyprus;2020;9;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;37.733
General Customs Value;Cyprus;2021;9;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;51.515
General Customs Value;Cyprus;2022;9;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;48.954
General Customs Value;Cyprus;2023;9;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;64.176
General Customs Value;Cyprus;2024;9;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;35.054
General Customs Value;Cyprus;2020;10;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;39.179
General Customs Value;Cyprus;2021;10;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;59.178
General Customs Value;Cyprus;2022;10;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;45.215
General Customs Value;Cyprus;2023;10;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;66.846
General Customs Value;Cyprus;2024;10;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;29.597
General Customs Value;Cyprus;2020;11;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;23.678
General Customs Value;Cyprus;2021;11;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;58.172
General Customs Value;Cyprus;2022;11;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;60.048
General Customs Value;Cyprus;2023;11;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;58.175
General Customs Value;Cyprus;2024;11;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;40.682
General Customs Value;Cyprus;2021;12;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;41.624
General Customs Value;Cyprus;2022;12;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;58.915
General Customs Value;Cyprus;2023;12;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;70.507
General Customs Value;Cyprus;2024;12;030284;SEABASS (DICENTRARCHUS SPP.), FRESH OR CHILLED;31.73
General Customs Value;Cyprus;2020;1;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;54.828
General Customs Value;Cyprus;2023;1;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;9.877
General Customs Value;Cyprus;2024;1;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;11.805
General Customs Value;Cyprus;2025;1;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;6.919
General Customs Value;Cyprus;2020;2;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;46.976
General Customs Value;Cyprus;2022;2;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;2.187
General Customs Value;Cyprus;2023;2;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;11.766
General Customs Value;Cyprus;2024;2;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;13.052
General Customs Value;Cyprus;2025;2;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;9.387
General Customs Value;Cyprus;2020;3;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;30.521
General Customs Value;Cyprus;2021;3;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;2.168
General Customs Value;Cyprus;2022;3;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;10.248
General Customs Value;Cyprus;2023;3;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;12.267
General Customs Value;Cyprus;2024;3;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;10.356
General Customs Value;Cyprus;2025;3;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;13.101
General Customs Value;Cyprus;2021;4;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;13.957
General Customs Value;Cyprus;2022;4;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;12.838
General Customs Value;Cyprus;2023;4;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;13.019
General Customs Value;Cyprus;2024;4;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;2.027
General Customs Value;Cyprus;2025;4;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;7.46
General Customs Value;Cyprus;2021;5;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;7.01
General Customs Value;Cyprus;2022;5;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;2.441
General Customs Value;Cyprus;2023;5;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;7.159
General Customs Value;Cyprus;2024;5;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;8.63
General Customs Value;Cyprus;2025;5;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;12.015
General Customs Value;Cyprus;2020;6;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;2.615
General Customs Value;Cyprus;2021;6;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;6.784
General Customs Value;Cyprus;2022;6;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;4.386
General Customs Value;Cyprus;2023;6;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;12.682
General Customs Value;Cyprus;2024;6;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;7.664
General Customs Value;Cyprus;2021;7;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;9.32
General Customs Value;Cyprus;2023;7;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;13.974
General Customs Value;Cyprus;2024;7;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;7.706
General Customs Value;Cyprus;2021;8;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;8.654
General Customs Value;Cyprus;2022;8;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;10.276
General Customs Value;Cyprus;2023;8;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;9.373
General Customs Value;Cyprus;2024;8;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;8.294
General Customs Value;Cyprus;2020;9;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;2.027
General Customs Value;Cyprus;2021;9;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;5.863
General Customs Value;Cyprus;2022;9;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;7.738
General Customs Value;Cyprus;2023;9;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;9.832
General Customs Value;Cyprus;2024;9;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;14.44
General Customs Value;Cyprus;2020;10;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;6.512
General Customs Value;Cyprus;2021;10;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;14.529
General Customs Value;Cyprus;2022;10;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;10.383
General Customs Value;Cyprus;2023;10;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;10.869
General Customs Value;Cyprus;2024;10;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;10.776
General Customs Value;Cyprus;2021;11;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;11.819
General Customs Value;Cyprus;2022;11;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;15.448
General Customs Value;Cyprus;2023;11;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;6.451
General Customs Value;Cyprus;2024;11;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;7.397
General Customs Value;Cyprus;2021;12;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;9.191
General Customs Value;Cyprus;2022;12;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;14.858
General Customs Value;Cyprus;2023;12;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;12.826
General Customs Value;Cyprus;2024;12;030285;SEABREAM (SPARIDAE), FRESH OR CHILLED;12.109
General Customs Value;Cyprus;2021;1;030384;SEABASS (DICENTRARCHUS SPP.), FROZEN;29.323
General Customs Value;Cyprus;2021;2;030384;SEABASS (DICENTRARCHUS SPP.), FROZEN;46.545
General Customs Value;Cyprus;2021;3;030384;SEABASS (DICENTRARCHUS SPP.), FROZEN;62.331
General Customs Value;Cyprus;2021;4;030384;SEABASS (DICENTRARCHUS SPP.), FROZEN;79.959
General Customs Value;Cyprus;2021;5;030384;SEABASS (DICENTRARCHUS SPP.), FROZEN;66.27
General Customs Value;Cyprus;2021;6;030384;SEABASS (DICENTRARCHUS SPP.), FROZEN;71.213
General Customs Value;Cyprus;2021;7;030384;SEABASS (DICENTRARCHUS SPP.), FROZEN;74.827
General Customs Value;Cyprus;2020;10;030384;SEABASS (DICENTRARCHUS SPP.), FROZEN;18.386
General Customs Value;Cyprus;2020;11;030384;SEABASS (DICENTRARCHUS SPP.), FROZEN;28.716
General Customs Value;Cyprus;2020;12;030384;SEABASS (DICENTRARCHUS SPP.), FROZEN;15.541
General Customs Value;Cyprus;2021;2;030389;FISH, FROZEN, NESOI;7.155
General Customs Value;Cyprus;2021;3;030389;FISH, FROZEN, NESOI;11.038
General Customs Value;Cyprus;2021;4;030389;FISH, FROZEN, NESOI;12.052
General Customs Value;Cyprus;2021;5;030389;FISH, FROZEN, NESOI;2.437
General Customs Value;Cyprus;2020;1;040310;YOGURT, WHETHER OR NOT SWEETENED, FLAVORED OR CONTAINING ADDED FRUIT, NUTS OR COCOA;4.631
General Customs Value;Cyprus;2020;3;040310;YOGURT, WHETHER OR NOT SWEETENED, FLAVORED OR CONTAINING ADDED FRUIT, NUTS OR COCOA;4.718
General Customs Value;Cyprus;2024;1;040590;FATS AND OILS DERIVED FROM MILK, N.E.S.O.I.;78.484
General Customs Value;Cyprus;2020;1;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;11.332
General Customs Value;Cyprus;2022;1;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;102.672
General Customs Value;Cyprus;2025;1;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;153.054
General Customs Value;Cyprus;2020;2;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;102.672
General Customs Value;Cyprus;2022;2;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;143.156
General Customs Value;Cyprus;2023;2;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;14.165
General Customs Value;Cyprus;2024;2;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;65.279
General Customs Value;Cyprus;2025;2;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;150.92
General Customs Value;Cyprus;2023;3;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;251.293
General Customs Value;Cyprus;2024;3;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;274.641
General Customs Value;Cyprus;2025;3;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;12.483
General Customs Value;Cyprus;2020;4;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;118.422
General Customs Value;Cyprus;2021;4;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;171.265
General Customs Value;Cyprus;2022;4;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;9.044
General Customs Value;Cyprus;2023;4;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;14.488
General Customs Value;Cyprus;2025;4;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;38.303
General Customs Value;Cyprus;2021;5;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;117.626
General Customs Value;Cyprus;2024;5;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;184
General Customs Value;Cyprus;2025;5;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;180.981
General Customs Value;Cyprus;2020;6;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;11.33
General Customs Value;Cyprus;2021;6;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;19.242
General Customs Value;Cyprus;2022;6;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;223.82
General Customs Value;Cyprus;2024;6;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;186.914
General Customs Value;Cyprus;2020;7;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;151.556
General Customs Value;Cyprus;2021;7;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;189.179
General Customs Value;Cyprus;2022;7;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;121.56
General Customs Value;Cyprus;2023;7;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;150.557
General Customs Value;Cyprus;2024;7;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;328.321
General Customs Value;Cyprus;2020;8;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;193.79
General Customs Value;Cyprus;2022;8;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;505.154
General Customs Value;Cyprus;2023;8;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;141.173
General Customs Value;Cyprus;2024;8;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;227.452
General Customs Value;Cyprus;2021;9;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;176.21
General Customs Value;Cyprus;2022;9;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;251.907
General Customs Value;Cyprus;2023;9;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;163.414
General Customs Value;Cyprus;2024;9;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;158.427
General Customs Value;Cyprus;2020;10;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;74.063
General Customs Value;Cyprus;2022;10;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;12.742
General Customs Value;Cyprus;2023;10;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;215.351
General Customs Value;Cyprus;2021;11;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;121.04
General Customs Value;Cyprus;2022;11;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;159.995
General Customs Value;Cyprus;2023;11;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;122.958
General Customs Value;Cyprus;2024;11;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;8.624
General Customs Value;Cyprus;2020;12;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;116.972
General Customs Value;Cyprus;2022;12;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;14.845
General Customs Value;Cyprus;2023;12;040610;CHEESE, (UNRIPENED OR UNCURED) FRESH (INCLUDING WHEY CHEESE), AND CURD;409.64
General Customs Value;Cyprus;2023;6;040630;CHEESE, PROCESSED, NOT GRATED OR POWDERED;16.08
General Customs Value;Cyprus;2020;7;040630;CHEESE, PROCESSED, NOT GRATED OR POWDERED;7.2
General Customs Value;Cyprus;2024;7;040630;CHEESE, PROCESSED, NOT GRATED OR POWDERED;13.2
General Customs Value;Cyprus;2021;10;040630;CHEESE, PROCESSED, NOT GRATED OR POWDERED;8.1
General Customs Value;Cyprus;2020;1;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;314.752
General Customs Value;Cyprus;2021;1;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;379.204
General Customs Value;Cyprus;2022;1;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;185.209
General Customs Value;Cyprus;2023;1;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;163.849
General Customs Value;Cyprus;2024;1;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;363.014
General Customs Value;Cyprus;2025;1;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;500.175
General Customs Value;Cyprus;2020;2;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;545.963
General Customs Value;Cyprus;2021;2;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;166.863
General Customs Value;Cyprus;2022;2;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;326.285
General Customs Value;Cyprus;2023;2;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;378.2
General Customs Value;Cyprus;2024;2;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;522.075
General Customs Value;Cyprus;2025;2;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;438.82
General Customs Value;Cyprus;2020;3;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;198.691
General Customs Value;Cyprus;2021;3;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;576.107
General Customs Value;Cyprus;2022;3;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;671.466
General Customs Value;Cyprus;2023;3;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;1022.147
General Customs Value;Cyprus;2024;3;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;1080.069
General Customs Value;Cyprus;2025;3;040690;CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY;855.75
