99xx_HTS,Mapped_HTS,Normalized_HTS,Revision,Publication_Date,effective_pct_delta
9915.04.11,0405.90.20,040590,hts_2025_revision_1_csv,2025-02-05,-0.8
9915.04.17,0405.90.20,040590,hts_2025_revision_1_csv,2025-02-05,-4.6
9915.04.17,2309.90.48,230990,hts_2025_revision_1_csv,2025-02-05,-4.6
9915.04.24,2309.90.28,230990,hts_2025_revision_1_csv,2025-02-05,-0.6
9915.04.24,2309.90.28,230990,hts_2025_revision_1_csv,2025-02-05,-0.6
9915.04.28,2309.90.48,230990,hts_2025_revision_1_csv,2025-02-05,-3.5
9915.04.31,0402.29.50,040229,hts_2025_revision_1_csv,2025-02-05,-1.4
9915.04.34,0402.99.90,040299,hts_2025_revision_1_csv,2025-02-05,-1.4
9915.04.35,0403.20.50,040320,hts_2025_revision_1_csv,2025-02-05,-1.7
9915.04.36,0403.90.95,040390,hts_2025_revision_1_csv,2025-02-05,-1.7
9915.04.37,0404.10.15,040410,hts_2025_revision_1_csv,2025-02-05,-0.8
9915.04.38,0404.90.50,040490,hts_2025_revision_1_csv,2025-02-05,-0.8
9915.04.39,0405.20.70,040520,hts_2025_revision_1_csv,2025-02-05,-0.8
9915.04.39,2106.90.66,210690,hts_2025_revision_1_csv,2025-02-05,-0.8
9915.04.41,1704.90.58,170490,hts_2025_revision_1_csv,2025-02-05,-1.0
9915.04.42,1806.20.26,180620,hts_2025_revision_1_csv,2025-02-05,-0.4
9915.04.42,1806.20.36,180620,hts_2025_revision_1_csv,2025-02-05,-0.4
9915.04.42,1806.32.06,180632,hts_2025_revision_1_csv,2025-02-05,-0.4
9915.04.42,1806.32.16,180632,hts_2025_revision_1_csv,2025-02-05,-0.4
9915.04.43,1806.20.28,180620,hts_2025_revision_1_csv,2025-02-05,-0.4
9915.04.43,1806.20.38,180620,hts_2025_revision_1_csv,2025-02-05,-0.4
9915.04.43,1806.32.08,180632,hts_2025_revision_1_csv,2025-02-05,-0.4
9915.04.43,1806.32.18,180632,hts_2025_revision_1_csv,2025-02-05,-0.4
9915.04.44,1806.20.82,180620,hts_2025_revision_1_csv,2025-02-05,-0.8
9915.04.44,1806.20.87,180620,hts_2025_revision_1_csv,2025-02-05,-0.8
9915.04.45,1806.20.83,180620,hts_2025_revision_1_csv,2025-02-05,-0.8
9915.04.45,1806.20.89,180620,hts_2025_revision_1_csv,2025-02-05,-0.8
9915.04.46,1806.32.70,180632,hts_2025_revision_1_csv,2025-02-05,-0.6
9915.04.46,1806.90.08,180690,hts_2025_revision_1_csv,2025-02-05,-0.6
9915.04.46,1806.90.18,180690,hts_2025_revision_1_csv,2025-02-05,-0.6
9915.04.46,1806.90.28,180690,hts_2025_revision_1_csv,2025-02-05,-0.6
9915.04.47,1806.32.80,180632,hts_2025_revision_1_csv,2025-02-05,-0.6
9915.04.47,1806.90.10,180690,hts_2025_revision_1_csv,2025-02-05,-0.6
9915.04.47,1806.90.20,180690,hts_2025_revision_1_csv,2025-02-05,-0.6
9915.04.47,1806.90.30,180690,hts_2025_revision_1_csv,2025-02-05,-0.6
9915.04.48,1901.10.16,190110,hts_2025_revision_1_csv,2025-02-05,-1.4
9915.04.48,1901.10.26,190110,hts_2025_revision_1_csv,2025-02-05,-1.4
9915.04.48,1901.10.36,190110,hts_2025_revision_1_csv,2025-02-05,-1.4
9915.04.48,1901.10.44,190110,hts_2025_revision_1_csv,2025-02-05,-1.4
9915.04.49,1901.20.15,190120,hts_2025_revision_1_csv,2025-02-05,-0.8
9915.04.49,1901.20.50,190120,hts_2025_revision_1_csv,2025-02-05,-0.8
9915.04.50,1901.10.56,190110,hts_2025_revision_1_csv,2025-02-05,-1.3
9915.04.50,1901.10.66,190110,hts_2025_revision_1_csv,2025-02-05,-1.3
9915.04.50,1901.90.62,190190,hts_2025_revision_1_csv,2025-02-05,-1.3
9915.04.50,1901.90.65,190190,hts_2025_revision_1_csv,2025-02-05,-1.3
9915.04.51,2105.00.40,210500,hts_2025_revision_1_csv,2025-02-05,-1.7
9915.04.53,2106.90.87,210690,hts_2025_revision_1_csv,2025-02-05,-0.8
