Country,Level 1 Index,Time,Indprod Index Value (I21),diff_IPI,lagged_diff_IPI
AT,B+C,2024-11,203.5,2.0,12.600000000000023
AT,B+C,2024-12,172.0,-31.5,2.0
AT,B+C,2025-01,155.7,-16.30000000000001,-31.5
AT,B+C,2025-02,166.7,11.0,-16.30000000000001
AT,B+C,2025-03,192.7,26.0,11.0
AT,B+C,2025-04,187.8,-4.899999999999977,26.0
AT,B+C,2025-05,188.2,0.39999999999997726,-4.899999999999977
AT,B+C,2025-06,187.0,-1.1999999999999886,0.39999999999997726
AT,B+C,2025-07,199.1,12.099999999999994,-1.1999999999999886
AT,B+C,2025-08,168.4,-30.69999999999999,12.099999999999994
BE,B+C,2024-11,170.10000000000002,-27.299999999999983,9.5
BE,B+C,2024-12,145.9,-24.200000000000017,-27.299999999999983
BE,B+C,2025-01,151.7,5.799999999999983,-24.200000000000017
BE,B+C,2025-02,168.3,16.600000000000023,5.799999999999983
BE,B+C,2025-03,184.1,15.799999999999983,16.600000000000023
BE,B+C,2025-04,182.2,-1.9000000000000057,15.799999999999983
BE,B+C,2025-05,178.9,-3.299999999999983,-1.9000000000000057
BE,B+C,2025-06,188.9,10.0,-3.299999999999983
BE,B+C,2025-07,162.0,-26.900000000000006,10.0
BE,B+C,2025-08,162.2,0.19999999999998863,-26.900000000000006
BG,B+C,2024-11,202.2,-12.400000000000006,-7.900000000000006
BG,B+C,2024-12,217.9,15.700000000000017,-12.400000000000006
BG,B+C,2025-01,177.89999999999998,-40.00000000000003,15.700000000000017
BG,B+C,2025-02,167.7,-10.199999999999989,-40.00000000000003
BG,B+C,2025-03,180.7,13.0,-10.199999999999989
BG,B+C,2025-04,174.0,-6.699999999999989,13.0
BG,B+C,2025-05,175.5,1.5,-6.699999999999989
BG,B+C,2025-06,196.3,20.80000000000001,1.5
BG,B+C,2025-07,189.4,-6.900000000000006,20.80000000000001
BG,B+C,2025-08,190.8,1.4000000000000057,-6.900000000000006
CY,B+C,2024-11,205.3,-40.29999999999998,4.799999999999983
CY,B+C,2024-12,222.39999999999998,17.099999999999966,-40.29999999999998
CY,B+C,2025-01,233.5,11.100000000000023,17.099999999999966
CY,B+C,2025-02,234.1,0.5999999999999943,11.100000000000023
CY,B+C,2025-03,234.6,0.5,0.5999999999999943
CY,B+C,2025-04,227.0,-7.599999999999994,0.5
CY,B+C,2025-05,250.60000000000002,23.600000000000023,-7.599999999999994
CY,B+C,2025-06,244.1,-6.500000000000028,23.600000000000023
CY,B+C,2025-07,264.7,20.599999999999994,-6.500000000000028
CY,B+C,2025-08,157.2,-107.5,20.599999999999994
CZ,B+C,2024-11,200.6,-7.900000000000006,16.19999999999999
CZ,B+C,2024-12,160.89999999999998,-39.70000000000002,-7.900000000000006
CZ,B+C,2025-01,162.5,1.6000000000000227,-39.70000000000002
CZ,B+C,2025-02,164.7,2.1999999999999886,1.6000000000000227
CZ,B+C,2025-03,189.1,24.400000000000006,2.1999999999999886
CZ,B+C,2025-04,185.7,-3.4000000000000057,24.400000000000006
CZ,B+C,2025-05,179.60000000000002,-6.099999999999966,-3.4000000000000057
CZ,B+C,2025-06,176.39999999999998,-3.2000000000000455,-6.099999999999966
CZ,B+C,2025-07,177.3,0.9000000000000341,-3.2000000000000455
CZ,B+C,2025-08,157.5,-19.80000000000001,0.9000000000000341
DE,B+C,2024-11,190.9,1.5999999999999943,2.700000000000017
DE,B+C,2024-12,160.8,-30.099999999999994,1.5999999999999943
DE,B+C,2025-01,153.0,-7.800000000000011,-30.099999999999994
DE,B+C,2025-02,162.5,9.5,-7.800000000000011
DE,B+C,2025-03,190.7,28.19999999999999,9.5
DE,B+C,2025-04,181.10000000000002,-9.599999999999966,28.19999999999999
DE,B+C,2025-05,179.3,-1.8000000000000114,-9.599999999999966
DE,B+C,2025-06,175.8,-3.5,-1.8000000000000114
DE,B+C,2025-07,190.3,14.5,-3.5
DE,B+C,2025-08,161.3,-29.0,14.5
DK,B+C,2024-11,260.4,6.199999999999989,29.900000000000006
DK,B+C,2024-12,301.70000000000005,41.30000000000007,6.199999999999989
DK,B+C,2025-01,262.1,-39.60000000000002,41.30000000000007
DK,B+C,2025-02,258.2,-3.900000000000034,-39.60000000000002
DK,B+C,2025-03,240.89999999999998,-17.30000000000001,-3.900000000000034
DK,B+C,2025-04,257.8,16.900000000000034,-17.30000000000001
DK,B+C,2025-05,276.8,19.0,16.900000000000034
DK,B+C,2025-06,289.0,12.199999999999989,19.0
DK,B+C,2025-07,275.9,-13.100000000000023,12.199999999999989
DK,B+C,2025-08,268.1,-7.7999999999999545,-13.100000000000023
EE,B+C,2024-11,161.5,-23.30000000000001,-2.0999999999999943
EE,B+C,2024-12,137.89999999999998,-23.600000000000023,-23.30000000000001
EE,B+C,2025-01,132.8,-5.099999999999966,-23.600000000000023
EE,B+C,2025-02,135.2,2.3999999999999773,-5.099999999999966
EE,B+C,2025-03,159.0,23.80000000000001,2.3999999999999773
EE,B+C,2025-04,166.0,7.0,23.80000000000001
EE,B+C,2025-05,227.2,61.19999999999999,7.0
EE,B+C,2025-06,195.8,-31.399999999999977,61.19999999999999
EE,B+C,2025-07,201.5,5.699999999999989,-31.399999999999977
EE,B+C,2025-08,193.3,-8.199999999999989,5.699999999999989
ES,B+C,2024-11,204.5,-18.19999999999999,17.399999999999977
ES,B+C,2024-12,186.2,-18.30000000000001,-18.19999999999999
ES,B+C,2025-01,191.2,5.0,-18.30000000000001
ES,B+C,2025-02,194.6,3.4000000000000057,5.0
ES,B+C,2025-03,212.9,18.30000000000001,3.4000000000000057
ES,B+C,2025-04,197.5,-15.400000000000006,18.30000000000001
ES,B+C,2025-05,219.60000000000002,22.100000000000023,-15.400000000000006
ES,B+C,2025-06,203.8,-15.800000000000011,22.100000000000023
ES,B+C,2025-07,209.8,6.0,-15.800000000000011
ES,B+C,2025-08,156.3,-53.5,6.0
FI,B+C,2024-11,197.7,-4.5,18.099999999999994
FI,B+C,2024-12,188.5,-9.199999999999989,-4.5
FI,B+C,2025-01,183.0,-5.5,-9.199999999999989
FI,B+C,2025-02,173.2,-9.800000000000011,-5.5
FI,B+C,2025-03,196.6,23.400000000000006,-9.800000000000011
FI,B+C,2025-04,194.39999999999998,-2.200000000000017,23.400000000000006
FI,B+C,2025-05,193.89999999999998,-0.5,-2.200000000000017
FI,B+C,2025-06,192.6,-1.299999999999983,-0.5
FI,B+C,2025-07,182.4,-10.199999999999989,-1.299999999999983
FI,B+C,2025-08,197.5,15.099999999999994,-10.199999999999989
FR,B+C,2024-11,183.3,-21.69999999999999,14.899999999999977
FR,B+C,2024-12,160.8,-22.5,-21.69999999999999
FR,B+C,2025-01,163.3,2.5,-22.5
FR,B+C,2025-02,172.8,9.5,2.5
FR,B+C,2025-03,192.0,19.19999999999999,9.5
FR,B+C,2025-04,188.8,-3.1999999999999886,19.19999999999999
FR,B+C,2025-05,170.3,-18.5,-3.1999999999999886
FR,B+C,2025-06,193.0,22.69999999999999,-18.5
FR,B+C,2025-07,198.60000000000002,5.600000000000023,22.69999999999999
FR,B+C,2025-08,134.9,-63.70000000000002,5.600000000000023
HR,B+C,2024-11,187.3,-19.0,8.0
HR,B+C,2024-12,179.7,-7.600000000000023,-19.0
HR,B+C,2025-01,175.3,-4.399999999999977,-7.600000000000023
HR,B+C,2025-02,176.7,1.3999999999999773,-4.399999999999977
HR,B+C,2025-03,191.3,14.600000000000023,1.3999999999999773
HR,B+C,2025-04,194.0,2.6999999999999886,14.600000000000023
HR,B+C,2025-05,199.89999999999998,5.899999999999977,2.6999999999999886
HR,B+C,2025-06,195.6,-4.299999999999983,5.899999999999977
HR,B+C,2025-07,207.7,12.099999999999994,-4.299999999999983
HR,B+C,2025-08,164.8,-42.89999999999998,12.099999999999994
HU,B+C,2024-11,210.5,6.599999999999994,6.000000000000028
HU,B+C,2024-12,179.5,-31.0,6.599999999999994
HU,B+C,2025-01,180.6,1.0999999999999943,-31.0
HU,B+C,2025-02,159.0,-21.599999999999994,1.0999999999999943
HU,B+C,2025-03,177.5,18.5,-21.599999999999994
HU,B+C,2025-04,173.0,-4.5,18.5
